№ п/п&UUID&Описание&Ответ&Качество&Пользователь
1&eeb3c713b2424981bfe7802cc84663e5&	Пиздец АК Якутия лажают &[['удивление']]&56.9&admin
7370&7d1289b78ac7495a8209c2770773e002&"	Так вот и сосите такое "" будущее "" вместе с володиными ничтожествами ."&[['гнев']]&55.62&ZabashtaYV
7371&d71d4b11ac1a4241a5857fce625cbc73&	У меня нет , на твое мнение мне поуй .&[['отвращение']]&55.62&ZabashtaYV
7372&e89a33abe0914ed2990feca2e326a66d&	ЛОЛ&['Ни одного']&55.62&ZabashtaYV
7373&b198e7beab78466595eed49043f80218&	Причем вами же .&[['спокойствие']]&55.62&ZabashtaYV
7374&dd48f74e7e8c469bab773bff591fafc0&	Столько дел , что совсем позабыла от существовании Твиттера Даааа , докатилась&[['удивление']]&55.62&ZabashtaYV
7375&aa05b5d7b6d447caad78b021f64e5a31&	One and only  Ретвитнул ( а ) ᴄʜᴀɴʙᴀᴇᴋ&[['спокойствие']]&55.62&ZabashtaYV
7376&6f4d1d65b8fb446abe6157596f24a614&	кэнники че то элбэх багайытык ыалдьар буолбуппун иммунитет мелтеебут быьылаах&['Ни одного']&55.62&ZabashtaYV
7377&8e18c733d0b54aaeadbce4b4c835af68&	Чагоооо ?&[['удивление']]&55.62&ZabashtaYV
7378&4a75e58c314d4f519acefccfcd10dc67&	Нет испанская песня &['Ни одного']&55.62&ZabashtaYV
7379&77bf58bcf1624788bf05a6faee4497ef&	уууу , одноклассники начинают стареть  страшно жить , скажу вам &[['страх']]&55.62&ZabashtaYV
7380&93440b2ad8e7492191b1854e2b80c9c8&"	Возможно украинцев отнесли в отдельный "" отряд "" - "" класс "" . . . "&[['удивление']]&55.62&ZabashtaYV
7381&1d821a3718a14cc8820c4aa70c65827a&	Агыйах кунунэн уже барар эбиппит диии&['Ни одного']&55.62&ZabashtaYV
7382&7b1c385c840c46edb44ead26c3a3dac1&	Мартышки снова в деле  @ Sviblovo &['Ни одного']&55.62&ZabashtaYV
7383&c04fcd151193489cabad7e28079c2b54&	Да куда бежать  у нас он один , и то какой то дурацкий &[['спокойствие']]&55.62&ZabashtaYV
7384&9b55b8f2cfcb47cfb15f14ba27be1634&	Что скааааа ?!!! &[['удивление']]&55.62&ZabashtaYV
7385&424715fca11d41539465e9c00e5e1e43&	Сплит&['Ни одного']&55.62&ZabashtaYV
7386&06d9147cf0764700b4c5f97d34f3b49d&	МЫ ПОДДЕРЖИВАЕМ  А тех , кто вякает в сторону России Вы послали в жпу pictwittercomYjtGfUM&['Ни одного']&55.62&ZabashtaYV
7387&e62f1fcc89964819b20c044a8386cbd9&	 Ретвитнул ( а ) &['Ни одного']&55.62&ZabashtaYV
7388&5d65f36b652d4f27aa3947b449e49c73&	 / / моя любовь&['Ни одного']&55.62&ZabashtaYV
7389&ef7cd1a9404442859972a00435672506&	Такую метафору только пидар мог придумать &[['отвращение']]&55.62&ZabashtaYV
7390&301e9ed704b14aa09ba547f8784e1dfe&	үсээ заскү эр хүн айлгах чэн  хар нүгэлдээ ордын гэсн шүү &['Ни одного']&55.62&ZabashtaYV
7391&fefafd62b0db4eaba27e15d8dae6c9fd&	Хочу до бабочек в животе&[['счастье']]&55.62&ZabashtaYV
7392&0b6a89a95a9546ca84aed5fcc38c681b&	уаааау какой разноцветный новый айфон&[['удивление']]&55.62&ZabashtaYV
7393&93a9525554cc4cb48d8d78c6dfd59797&	Бля , я поняла , я хочу себе попугая  их , блять , истерики , это что то пхахха&[['счастье']]&55.62&ZabashtaYV
7394&fe37467562354f99a8851ec9d41b3c8d&	что бы вырастить теннисистку , нужно вложиться  и учиться за бугром .&[['спокойствие']]&55.62&ZabashtaYV
7395&584f50fb912242dbbb5e567e2d1c89cc&	Агата pictwittercomsCTrlGZu&['Ни одного']&55.62&ZabashtaYV
7396&47743cfc8e754d8582ea592d681e50c9&	Был вынужден заказать себе следующие очки  , так как в прежних стал хуже видеть текст  .&[['грусть']]&55.62&ZabashtaYV
7397&b8f3eee07de54d348124e472e1abc472&	О это шикарное чувство , когда заболеваешь&[['спокойствие']]&55.62&ZabashtaYV
7398&5cce62a9863e49bcba7af716923117a4&	elcnsng Вон опять притащила своего тюленя  Не пойму что все время выставляешь на показ не пойми какие отношения . Жирный тюлень и в африки&[['отвращение']]&55.62&ZabashtaYV
7399&f47843fc06874b48aee5b43f93dc2ff4&	Ну вот тогда за двоих ) &[['спокойствие']]&55.62&ZabashtaYV
7400&fe91a9e5fcaa4f7bbef4bb80b1c48afd&	она очень худая , не ест ничего&[['спокойствие']]&55.62&ZabashtaYV
7401&22f61312b50c4dc1b8de8d7ef8ff4e9c&	 Это пресбиопия , или попростому , но вполне официально - старческая ( ! ! !  ) дальнозоркость .&[['удивление']]&55.62&ZabashtaYV
7402&558b374b2ee54cfe9bfccca595e8b4ba&	Не выходи из комнаты , поверь - там не Франция &['Ни одного']&55.62&ZabashtaYV
7403&e4745a5167e14795935fed1ad8cf0700&	ты справишься &[['спокойствие']]&55.62&ZabashtaYV
7404&dfa6b25f18e64e91a0e21181b7e2a4d3&	аааа ребятки подарили подарок в самом конце дня пидоры ( зайки ) и еще хотели круто поздравить НО Я ТОРОПИЛАСЬ &[['счастье']]&55.62&ZabashtaYV
7405&4355472828464871be482c616e2b59c1&	Мне так то рак ты , гте ты , я тьебя штала в субботу️️ &[['спокойствие']]&55.62&ZabashtaYV
7406&d254155e4d674b829fedb64d8765ced3&	Уонна бырдах беге &['Ни одного']&55.62&ZabashtaYV
7407&de63dd83fd7f4dafa76b38ea264c8b1f&	Аааааааааа Я орнул и поперхнулся&[['удивление']]&55.62&ZabashtaYV
7408&0e5d16e8ab9d4a2896c75c84a2f02c70&	Полина ! ! ! &[['гнев']]&55.62&ZabashtaYV
7409&0616fc6317ae412c9fe780548fdf1910&	# Apple конченные , конечно pictwittercomuXieXeT&[['гнев']]&55.62&ZabashtaYV
7410&2ae330d27cb142b8ba50ea083d6ea5ae&	 Сама еще не нашла ответ на этот вопрос Сори &['Ни одного']&55.62&ZabashtaYV
7411&fc78f83b6461470ba9c27f8ed47f5163&	Я умираю &[['грусть']]&55.62&ZabashtaYV
7412&77a47f5feb7f4a6c85f6b464c39654b2&	 а как же всем любимый рыжий из ералаша&[['удивление']]&55.62&ZabashtaYV
7413&fc18aaeccb25476b957e180639c45d7c&	Ну что за бьютифул фуд ! ?  pictwittercomtBZxfNgP&[['удивление']]&55.62&ZabashtaYV
7414&f532696d61d843b2be4b4cd4732bff04&	Кто в июне гриппом болеет , тот - я .&[['грусть']]&55.62&ZabashtaYV
7415&88809451d7854c8985c88a78ce17e295&	вот после такого и хочется ебашить ️&[['спокойствие']]&55.62&ZabashtaYV
7416&36d743a839714f5a8b972721b86d3d0f&	На Константина зверски и подло напал насморк .&[['спокойствие']]&55.62&ZabashtaYV
7417&b413558b45474178b96e71fd0fe703ad&	Сейчас все уши прожужжала родителям от том , что Бантосы хотят в рашку и знаете что мне ответили ?&[['удивление']]&55.62&ZabashtaYV
7418&c9c0a408b1694bcf8a1be537f54e3e02&	Хотя , что я смеюсь ? У самой не лучше было бы при виде какойнибудь гадости ) Вареного лука , например ! ) &[['удивление']]&55.62&ZabashtaYV
7419&6dc53517154f4600b955c29321fed3cf&	Усяяяяя Вишенка ты мояяя      Ты такая прелесть  Не уж то я и правда милый ? &[['удивление']]&55.62&ZabashtaYV
7420&30a5dc337580478ab79bf054d4583c0e&	В Тернопольской тоже &[['спокойствие']]&55.62&ZabashtaYV
7421&f2e14f86752e4073a2b19a0a65ce457d&	Чревато и не оплачиваемо ?&[['спокойствие']]&55.62&ZabashtaYV
7422&c953a5b98db84a4db7f6529b45ed4ae3&	Можешь дышать , когда умрешь&['Ни одного']&55.62&ZabashtaYV
7423&49ff2e6ea453405b89180d6e1a2e2ea4&	Сегодня блин , когда мне уезжать  Сегодня !&[['удивление']]&55.62&ZabashtaYV
7424&b220b0826c474119815869bd0e433d3b&	Уее приключения в джунгли Пашиных волос&[['счастье']]&55.62&ZabashtaYV
7425&8aba285a55c2420fbcb458b52088b2bb&	Хотя этот день не для России точно .&[['отвращение']]&55.62&ZabashtaYV
7426&e518048229b7479ab2af3986ba3f6d8e&	Как же я обьелась  pictwittercomjkanruhVAw&[['отвращение']]&55.62&ZabashtaYV
7427&d86eeadcb31c4568a52d3ad0fede014a&	В День Церковного Новолетия Желаю всем Добра и Многолетия Духовного Благого Обновления Покрова Горнего Душеспасения !       pictwittercomZjRNXOLCkl&[['счастье']]&55.62&ZabashtaYV
7428&6c1e6aefaac14c7591be77275518d9c8&	Курултай решите уже  pictwittercomcvrXCItYv&['Ни одного']&55.62&ZabashtaYV
7429&e283f19d472b4061bee005b87924c4e7&	Вызывайте экзорциста ! &[['страх']]&55.62&ZabashtaYV
7430&84e2657c6c4348c4ae86bfff20cff66a&	красиво &[['удивление']]&55.62&ZabashtaYV
7431&4c40d36fcb3e48c9b440064615188db1&	Летом в Москве очень актуально .&[['спокойствие']]&55.62&ZabashtaYV
7432&2d0631f358ab431ba65ce3a83a8ff972&	Ну нахуя ? &[['удивление']]&55.62&ZabashtaYV
7433&70f711c331f54ec5873c340e1dfc9d15&	 Походу ( я тоже заболела  &[['грусть']]&55.62&ZabashtaYV
7434&539b5c2e67ea432892d2da8db36152ab&	Были связаны на заказ , размер см&[['спокойствие']]&55.62&ZabashtaYV
7435&a1b5f973f3e54e0389b16a19950fbac2&	отвратительный &[['отвращение']]&55.62&ZabashtaYV
7436&4e1767b0aef448d39fa89bb0666a2c33&	Эхнээсээ бүр нэг томдсон хувцас авч өгөөд хэдэн жил өмсүүлчдэг наасан сүүлдээ дадайсан  сапирсан юм болжийж нэг юм шинэ юм авбал авна эсвэл хуучин&['Ни одного']&55.62&ZabashtaYV
7437&436252405d564c118105728f29dda60b&	Я закрою глаза но СБУ , но то что тебе предлагают курносого Мустафу - конкретное ФУ &[['отвращение']]&55.62&ZabashtaYV
7438&c1ec182801a442f49c0d89d9ebc49458&	что делать когда самый главный toxic person в моей жизни это я сама &[['грусть']]&55.62&ZabashtaYV
7439&3e22084539bb440a981e38c6c4993408&	Подумала и решила не рисковать ! Потом получу нагоняйчик такой , что не нагнать будет ! &['Ни одного']&55.62&ZabashtaYV
7440&e04ffe246f08466ab773adbc1edd30ce&"	"" Приходили мыши с жалобой к коту ! "" - Говорите тише , шепотом , хвосту ! "" "" "&[['спокойствие']]&55.62&ZabashtaYV
7441&524cc948bf5d44cc9378ca98e815d063&	 Выход есть всегда ! ! ! !&[['счастье']]&55.62&ZabashtaYV
7442&b25d99ba5c2d4db9a87feb802ce15cc7&	Вчера собрали кровать , и я вообще не хочу покидать ее А столько дел , столько дел . . эх pictwittercomwsAAZSZFw&[['грусть']]&55.62&ZabashtaYV
7443&2d89facfde4d41d3bec1d798c641da15&	Ellie  Ретвитнул ( а ) paladin nightingale .&['Ни одного']&55.62&ZabashtaYV
7444&eb6b9972f6db4d7ab7a1575f8a5239a9&	То есть Аня пердит и пахнет как парнишка в штанишках &[['отвращение']]&55.62&ZabashtaYV
7445&99b07cd2bc4248d8a2063f47e4be89b8&	Да ладно вам , стерпится - слюбится .&[['спокойствие']]&55.62&ZabashtaYV
7446&ec86825df561468faa8a8eeb8ff55188&	Сложно быть красавицей&[['грусть']]&55.62&ZabashtaYV
7447&f8f4139ae64945e8940239ea5c173b58&	Как же я ненавижу то чувство , когда тебя выворачивает от всего , от всех запахов  Когда ты не можешь ничего есть , кроме&[['отвращение']]&55.62&ZabashtaYV
7448&6eb2474986844d40af357310cb6151f7&	Обычная история это продажная девка русофобии и поле для искажения триумфов нашего уникального русского духа в угоду врагам .&[['отвращение']]&55.62&ZabashtaYV
7449&ea14d22932564343a9312c55812bd770&	Таких ярких бабушек я еще не встречала&[['удивление']]&55.62&ZabashtaYV
7450&7cc5d4e8c07e4874997510ff63da51c7&	белая ниточка купается в черном море pictwittercomrlRxPHAn&[['спокойствие']]&55.62&ZabashtaYV
7451&94bc0a69ffce4b2989e64bcece662caf&	Теперь она у меня есть !  / Замечательная книга - сборник заметок о живой природе .&[['счастье']]&55.62&ZabashtaYV
7452&720f8b196ade4ee8a6dc35436e15531f&	Не много , по делу . диагноз подтверждается уже в й раз &[['спокойствие']]&55.62&ZabashtaYV
